Inactive APIs (182):
========================================
https://api.apis.guru/v2/specs/1password.local/connect/1.3.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/adobe.com/aem/3.5.0-pre.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/amazonaws.com/chime-sdk-identity/2021-04-20/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/amazonaws.com/chime-sdk-messaging/2021-05-15/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/amazonaws.com/memorydb/2021-01-01/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/amazonaws.com/kafkaconnect/2021-09-14/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/amazonaws.com/route53-recovery-control-config/2020-11-02/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/amazonaws.com/opensearch/2021-01-01/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/amazonaws.com/route53-recovery-cluster/2019-12-02/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/amazonaws.com/route53-recovery-readiness/2019-12-02/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/amazonaws.com/snow-device-management/2021-08-04/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/amentum.space/space_radiation/1.1.1/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/apache.org/qakka/v1/swagger.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/anchore.io/0.1.19/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/apacta.com/0.0.1/swagger.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/api.ebay.com/sell-account/v1.6.3/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/apicurio.local/registry/2.1.0-SNAPSHOT/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/apideck.com/crm/8.66.1/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/apideck.com/accounting/8.66.1/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/apideck.com/lead/8.66.1/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/apideck.com/proxy/8.66.1/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/apideck.com/file-storage/8.66.1/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/apideck.com/vault/8.66.1/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/apideck.com/webhook/8.66.1/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/apideck.com/hris/8.66.1/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/apideck.com/customer-support/8.66.1/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/apideck.com/ats/8.66.1/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/apideck.com/sms/8.66.1/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/apideck.com/connector/8.66.1/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/apideck.com/pos/8.66.1/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/apigee.local/registry/0.0.2/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/apimatic.io/1.0/swagger.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/apis.guru/2.0.2/swagger.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/apiz.ebay.com/sell-finances/1.9.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/appcenter.ms/v0.1/swagger.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/ato.gov.au/0.0.6/swagger.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/autodealerdata.com/0.1/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/authentiq.io/1.0/swagger.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/azure.com/azsadmin-quotas/2019-08-08-preview/swagger.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/azure.com/sql-databaseSecurityAlertPolicies/2014-04-01/swagger.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/azure.com/sql-serverAzureADAdministrators/2014-04-01/swagger.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/billbee.io/v1/swagger.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/bungie.net/2.11.1/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/callfire.com/V2/swagger.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/canada-holidays.ca/1.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/circl.lu/hashlookup/1.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/circuitsandbox.net/2.9.233/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/collegefootballdata.com/4.1.6/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/conjur.local/5.1.1/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/contribly.com/1.0.0/swagger.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/corona-virus-stats.herokuapp.com/v1/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/cpy.re/peertube/3.3.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/credas.co.uk/pi/v1/swagger.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/crossbrowsertesting.com/3.0.0/swagger.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/dev.to/0.9.7/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/dracoon.team/4.29.1/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/ebay.com/buy-marketing/v1_beta.1.0/swagger.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/ebay.com/buy-feed/v1_beta.28.0/swagger.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/ebay.com/commerce-charity/v1.2.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/ebay.com/sell-account/v1.6.3/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/ebay.com/sell-fulfillment/v1.19.9/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/ebay.com/sell-marketing/v1.10.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/ebay.com/sell-metadata/v1.4.1/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/gamesparks.net/game-details/v2/swagger.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/gitea.io/1.16.0+dev-138-gdb1e3d02a/swagger.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/googleapis.com/bigtableadmin/v1/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/googleapis.com/doubleclickbidmanager/v1/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/here.com/tracking/2.1.58/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/id4i.de/0.9.7/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/ideal-postcodes.co.uk/0.0.1/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/image-charts.com/5.6.0/swagger.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/intellifi.nl/2.20.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/letmc.com/diary/v3-diary/swagger.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/libretranslate.local/1.2/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/linode.com/4.97.2/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/letmc.com/maintenance/v3-maintenance/swagger.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/mastodon.local/1.1.1/swagger.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/medium.com/1.0.0/swagger.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/meraki.com/1.12.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/microsoft.com/graph/v1.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/monarchinitiative.org/1.0.1/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/mist.com/0.12.4/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/namsor.com/2.0.15/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/netatmo.net/1.1.5/swagger.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/netlify.com/2.5.0/swagger.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/neutrinoapi.net/3.5.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/nexmo.com/application.v2/2.1.1/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/nexmo.com/messages-olympus/1.2.3/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/nexmo.com/sms/1.0.11/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/nexmo.com/verify/1.2.3/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/nexmo.com/voice/1.3.8/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/nic.at/domainfinder/1.0.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/nordigen.com/1.7/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/openapi-generator.tech/5.2.1/swagger.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/openstates.org/2021.08.02/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/optimade.local/1.1.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/orthanc-server.com/1.9.6/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/palabras-aleatorias-public-api.herokuapp.com/1.0.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/parliament.uk/lordsvotes/v1/swagger.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/parliament.uk/statutoryinstruments/v1/swagger.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/parliament.uk/treaties/v1/swagger.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/payrun.io/21.22.3.23/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/plaid.com/2020-09-14_1.20.6/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/posty-api.herokuapp.com/v1/swagger.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/prss.org/2.0.0/swagger.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/rudder.example.local/13/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/rumble.run/2.0.3/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/salesloft.com/v2/swagger.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/shipengine.com/1.1.202006302006/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/shutterstock.com/1.1.5/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/spoonacular.com/1.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/spotify.com/2021.8.15/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/statsocial.com/1.0.0./openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/stripe.com/2020-08-27/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/swagger.io/generator/2.4.21/swagger.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/swaggerhub.com/1.0.47/swagger.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/taggun.io/1.5.74/swagger.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/thebluealliance.com/3.8.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/thesmsworks.co.uk/1.5.0/swagger.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/traccar.org/4.14/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/trashnothing.com/1.2/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/twilio.com/api/1.35.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/twilio.com/twilio_accounts_v1/1.35.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/twilio.com/twilio_chat_v1/1.35.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/twilio.com/twilio_chat_v2/1.35.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/twilio.com/twilio_bulkexports_v1/1.35.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/twilio.com/twilio_autopilot_v1/1.35.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/twilio.com/twilio_events_v1/1.35.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/twilio.com/twilio_conversations_v1/1.35.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/twilio.com/twilio_frontline_v1/1.35.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/twilio.com/twilio_insights_v1/1.35.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/twilio.com/twilio_ip_messaging_v1/1.35.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/twilio.com/twilio_messaging_v1/1.35.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/twilio.com/twilio_ip_messaging_v2/1.35.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/twilio.com/twilio_monitor_v1/1.35.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/twilio.com/twilio_flex_v1/1.35.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/twilio.com/twilio_lookups_v1/1.35.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/twilio.com/twilio_notify_v1/1.35.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/twilio.com/twilio_pricing_v1/1.35.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/twilio.com/twilio_preview/1.35.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/twilio.com/twilio_pricing_v2/1.35.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/twilio.com/twilio_serverless_v1/1.35.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/twilio.com/twilio_studio_v1/1.35.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/twilio.com/twilio_supersim_v1/1.35.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/twilio.com/twilio_studio_v2/1.35.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/twilio.com/twilio_numbers_v2/1.35.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/twilio.com/twilio_proxy_v1/1.35.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/twilio.com/twilio_taskrouter_v1/1.35.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/twilio.com/twilio_sync_v1/1.35.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/twilio.com/twilio_trunking_v1/1.35.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/twilio.com/twilio_verify_v2/1.35.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/twilio.com/twilio_trusthub_v1/1.35.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/twilio.com/twilio_voice_v1/1.35.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/twilio.com/twilio_media_v1/1.35.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/twilio.com/twilio_wireless_v1/1.35.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/twilio.com/twilio_chat_v3/1.35.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/twilio.com/twilio_video_v1/1.35.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/twilio.com/twilio_lookups_v2/1.35.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/twilio.com/twilio_routes_v2/1.35.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/twilio.com/twilio_microvisor_v1/1.35.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/twinehealth.com/v7.78.1/swagger.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/twitter.com/labs/2.13/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/twitter.com/current/2.21/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/vaccinationstatus.azurewebsites.net/india/1.0/openapi.json (Status: 404, Error: None)
3.0.1 (Status: None, Error: Invalid URL '3.0.1': No scheme supplied. Perhaps you meant https://3.0.1?)
https://api.apis.guru/v2/specs/vaccinationstatus.azurewebsites.net/brasil/1.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/vaccinationstatus.azurewebsites.net/athena/1.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/vaccinationstatus.azurewebsites.net/peru/1.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/vaccinationstatus.azurewebsites.net/paraguay/1.0/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/versioneye.com/2.0/swagger.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/velopayments.com/2.26.127/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/visualcrossing.com/weather/4.5/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/vocadb.net/v1/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/waag.org/v1/swagger.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/warwick.ac.uk/enterobase/v2.0/swagger.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/wealthport.com/1.0/swagger.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/wavecell.com/v1/swagger.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/wedpax.com/v1/swagger.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/webscraping.ai/2.0.4/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/wiremock.org/admin/2.30.1/openapi.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/xero.com/2.0/swagger.json (Status: 404, Error: None)
https://api.apis.guru/v2/specs/yunbi.com/v2/swagger.json (Status: 404, Error: None)
