attributes;appearances
Add an email to the contact object;529
Provide the 401 response in the definition of the path in the operation (here: POST);12564
Use camelCase to separate words in URI segments;23225
To indicate the format of a message's entity body (JSON) rely on the media type inside the Content-Type header.;588
replace '.' with a forward slash '/' to indicate a hierarchical relationship;4234
Use hyphens (-) instead of underscores (_);3579
Provide the 401 response in the definition of the path in the operation (here: DELETE);2335
Use singular nouns for document names;5268
Provide the 401 response in the definition of the path in the operation (here: GET);11348
Provide the 401 response in the definition of the path in the operation (here: PUT);2130
Specify content type in 200 response in GET operation;2452
because clients and servers rely on the value of this header to know how to process the sequence of bytes in the message body.;25022
Add a response object content definition;2677
Add a contact object to the info object;631
Use plural nouns for collection or store names;2773
POST must be used to create a new resource in a collection or to execute controllers and not for other purposes The request should be of type: DELETE;1637
Specify content type in 400 response in POST operation;685
Specify content type in 401 response in POST operation;732
Specify content type in 415 response in POST operation;23
GET must be used to retrieve a representation of a resource a not for other purposes The request should be of type: POST;712
URIS should not be used to indicate that a CRUD function (GET) is performed;681
instead HTTP request methods should be used for this.;2177
POST must be used to create a new resource in a collection or to execute controllers and not for other purposes The request should be of type: GET;3584
Use the appropriate HTTP request type;432
URIS should not be used to indicate that a CRUD function (POST) is performed;34
Specify content type in 402 response in POST operation;37
Specify content type in 500 response in POST operation;313
POST must be used to create a new resource in a collection or to execute controllers and not for other purposes The request should be of type: PUT;1878
replace ':' with a forward slash '/' to indicate a hierarchical relationship;1210
PUT must be used to both insert and update a stored resource and not for other purposes The request should be of type: POST;702
Use an official HTTP status code from the IANA registry;50318
Specify content type in 200 response in PUT operation;552
Specify content type in 200 response in DELETE operation;976
replace '#' with a forward slash '/' to indicate a hierarchical relationship;499
Specify content type in 200 response in POST operation;1672
Provide the 401 response in the definition of the path in the operation (here: PATCH);936
Specify content type in 404 response in POST operation;664
Specify content type in 405 response in POST operation;85
Specify content type in 406 response in POST operation;34
Specify content type in 401 response in GET operation;1770
Specify content type in 404 response in GET operation;1964
Specify content type in 405 response in GET operation;299
Specify content type in 406 response in GET operation;181
Specify content type in 401 response in DELETE operation;311
Specify content type in 404 response in DELETE operation;409
Specify content type in 405 response in DELETE operation;41
Specify content type in 406 response in DELETE operation;7
Specify content type in 403 response in POST operation;610
Specify content type in 401 response in PUT operation;246
Specify content type in 403 response in PUT operation;169
Specify content type in 404 response in PUT operation;328
Specify content type in 405 response in PUT operation;6
Specify content type in 406 response in PUT operation;14
Specify content type in 415 response in PUT operation;5
Specify content type in 403 response in GET operation;1236
Specify content type in 403 response in DELETE operation;248
Specify content type in 201 response in POST operation;400
URIS should not be used to indicate that a CRUD function (ADD) is performed;222
URIS should not be used to indicate that a CRUD function (UPDATE) is performed;352
URIS should not be used to indicate that a CRUD function (INSERT) is performed;9
URIS should not be used to indicate that a CRUD function (DELETE) is performed;384
Specify content type in 500 response in GET operation;879
Please check validity of path;132
Specify content type in 500 response in DELETE operation;104
Specify content type in 500 response in PUT operation;97
Specify content type in 401 response in PATCH operation;97
Specify content type in 403 response in PATCH operation;82
Specify content type in 404 response in PATCH operation;112
Specify content type in 500 response in PATCH operation;22
Specify content type in 200 response in PATCH operation;130
Add a name to the contact object;246
Add a URL to the contact object;288
Specify content type in 400 response in GET operation;1618
Specify content type in 400 response in PUT operation;523
Specify content type in 400 response in DELETE operation;267
Specify content type in 409 response in POST operation;129
Specify content type in 409 response in PUT operation;26
Specify content type in 202 response in POST operation;384
Specify content type in 202 response in GET operation;59
Add missing Response for HTTP Code 200;217
Specify content type in 422 response in POST operation;160
URIS should not be used to indicate that a CRUD function (CREATE) is performed;302
URIS should not be used to indicate that a CRUD function (RETRIEVE) is performed;22
Add a description to the info object;185
DELETE must be used to remove a resource from its parent resource and not for other purposes The request should be of type: POST;46
Specify content type in 201 response in PATCH operation;26
remove any '#' and '?' from the path;6025
Specify content type in 501 response in POST operation;5
Specify content type in 202 response in DELETE operation;250
Use a verb or verb phrase for controller names;139
URIS should not be used to indicate that a CRUD function (PUT) is performed;36
URIS should not be used to indicate that a CRUD function (READ) is performed;49
PUT must be used to both insert and update a stored resource and not for other purposes The request should be of type: DELETE;31
remove trailing forward slash '/' from URI;1001
GET must be used to retrieve a representation of a resource a not for other purposes The request should be of type: PUT;89
GET must be used to retrieve a representation of a resource a not for other purposes The request should be of type: DELETE;181
Remove the request body from the get request;41
URIS should not be used to indicate that a CRUD function (PURGE) is performed;11
URIS should not be used to indicate that a CRUD function (SELECT) is performed;9
replace '?' with a forward slash '/' to indicate a hierarchical relationship;5
Specify content type in 202 response in PUT operation;121
replace '=' with a forward slash '/' to indicate a hierarchical relationship;74
Specify content type in 201 response in DELETE operation;3
Specify content type in 400 response in PATCH operation;80
Define content of responses in refs in /responses/unauthorized or directly in the 401 response in GET operation.;22
Define content of responses in refs in /responses/forbidden or directly in the 403 response in GET operation.;22
Define content of responses in refs in /responses/not_acceptable or directly in the 406 response in GET operation.;22
Define content of responses in refs in /responses/rate_limit_exceeded or directly in the 429 response in GET operation.;22
Define content of responses in refs in /responses/not_found or directly in the 404 response in GET operation.;12
Define content of responses in refs in /responses/401 or directly in the 401 response in GET operation.;114
Define content of responses in refs in /responses/401 or directly in the 401 response in POST operation.;29
Define content of responses in refs in /responses/401 or directly in the 401 response in DELETE operation.;24
Specify content type in 501 response in GET operation;7
URIS should not be used to indicate that a CRUD function (FETCH) is performed;26
Specify content type in 201 response in PUT operation;24
Specify content type in 202 response in PATCH operation;46
To indicate the format of a message's entity body (SQL) rely on the media type inside the Content-Type header.;29
Specify content type in default response in GET operation;286
Specify content type in default response in DELETE operation;43
Specify content type in default response in PUT operation;26
Specify content type in default response in PATCH operation;11
Define content of responses in refs in /responses/304_NotModified or directly in the 304 response in GET operation.;26
Define content of responses in refs in /responses/412_PreConditionFailed or directly in the 412 response in POST operation.;2
Specify content type in 304 response in GET operation;215
