api_name,api_url,violation_line,violation_path
1Forge Finance APIs,https://api.apis.guru/v2/specs/1forge.com/0.0.1/swagger.json,,
Events API,https://api.apis.guru/v2/specs/1password.com/events/1.0.0/openapi.json,,
1Password Connect,https://api.apis.guru/v2/specs/1password.local/connect/1.3.0/openapi.json,,
Authentiq API,https://api.apis.guru/v2/specs/6-dot-authentiqio.appspot.com/6/openapi.json,,
Platform API,https://api.apis.guru/v2/specs/ably.io/platform/1.1.0/openapi.json,1262,/push/publish
Control API v1,https://api.apis.guru/v2/specs/ably.net/control/1.0.14/openapi.json,,
IP geolocation API,https://api.apis.guru/v2/specs/abstractapi.com/geolocation/1.0.0/openapi.json,,
Adafruit IO REST API,https://api.apis.guru/v2/specs/adafruit.com/2.0.0/swagger.json,1627,/{username}/feeds/{feed_key}/data/batch
Adafruit IO REST API,https://api.apis.guru/v2/specs/adafruit.com/2.0.0/swagger.json,1676,/{username}/feeds/{feed_key}/data/chart
Adafruit IO REST API,https://api.apis.guru/v2/specs/adafruit.com/2.0.0/swagger.json,1773,/{username}/feeds/{feed_key}/data/first
Adafruit IO REST API,https://api.apis.guru/v2/specs/adafruit.com/2.0.0/swagger.json,1820,/{username}/feeds/{feed_key}/data/last
Adafruit IO REST API,https://api.apis.guru/v2/specs/adafruit.com/2.0.0/swagger.json,1914,/{username}/feeds/{feed_key}/data/previous
Adafruit IO REST API,https://api.apis.guru/v2/specs/adafruit.com/2.0.0/swagger.json,1961,/{username}/feeds/{feed_key}/data/retain
Adafruit IO REST API,https://api.apis.guru/v2/specs/adafruit.com/2.0.0/swagger.json,2480,/{username}/groups/{group_key}/add
Adafruit IO REST API,https://api.apis.guru/v2/specs/adafruit.com/2.0.0/swagger.json,2524,/{username}/groups/{group_key}/data
Adafruit IO REST API,https://api.apis.guru/v2/specs/adafruit.com/2.0.0/swagger.json,2827,/{username}/groups/{group_key}/remove
Adafruit IO REST API,https://api.apis.guru/v2/specs/adafruit.com/2.0.0/swagger.json,3417,/{username}/{type}/{type_id}/acl
Adafruit IO REST API,https://api.apis.guru/v2/specs/adafruit.com/2.0.0/swagger.json,3511,/{username}/{type}/{type_id}/acl/{id}
Adobe Experience Manager (AEM) API,https://api.apis.guru/v2/specs/adobe.com/aem/3.5.0-pre.0/openapi.json,,
Adyen BinLookup API,https://api.apis.guru/v2/specs/adyen.com/BinLookupService/50/openapi.json,,
Adyen Checkout API,https://api.apis.guru/v2/specs/adyen.com/CheckoutService/68/openapi.json,1995,/payments/details
Adyen Checkout Utility Service,https://api.apis.guru/v2/specs/adyen.com/CheckoutUtilityService/1/openapi.json,,
Adyen for Platforms: Fund API,https://api.apis.guru/v2/specs/adyen.com/FundService/6/openapi.json,,
Adyen for Platforms: Hosted Onboarding,https://api.apis.guru/v2/specs/adyen.com/HopService/6/openapi.json,,
Adyen for Platforms: Notifications,https://api.apis.guru/v2/specs/adyen.com/MarketPayNotificationService/6/openapi.json,,
Adyen Payment API,https://api.apis.guru/v2/specs/adyen.com/PaymentService/68/openapi.json,,
Adyen Payout API,https://api.apis.guru/v2/specs/adyen.com/PayoutService/68/openapi.json,,
